,Rank,Name,Overview,game-id
15809,16104,Aeon Flux,Aeon Flux 2005 Action by THQ rank 16104,aeonflux
15810,16105,Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome!,Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome! 2011 Misc by Namco Bandai Games rank 16105,tobidase!kagaku-kunchikyuudaitanken!nazonochinkaiseibutsuniidome!
15811,16106,Kana: Imouto,Kana: Imouto 2010 Adventure by CyberFront rank 16106,kana:imouto
15812,16107,Barbie and Her Sisters Puppy Rescue,Barbie and Her Sisters Puppy Rescue 2015 Action by Namco Bandai Games rank 16107,barbieandhersisterspuppyrescue
15813,16108,Rock N' Roll Racing,Rock N' Roll Racing 1993 Racing by Interplay rank 16108,rockn'rollracing
15814,16109,Higurashi no Naku Koro ni Iki,Higurashi no Naku Koro ni Iki 2015 Action by Kaga Create rank 16109,higurashinonakukoroniiki
15815,16110,Marginal #4: Idol of Supernova,Marginal #4: Idol of Supernova 2014 Adventure by Idea Factory rank 16110,marginal#4:idolofsupernova
15816,16111,Nodame Cantabile,Nodame Cantabile 2007 Misc by Banpresto rank 16111,nodamecantabile
15817,16112,Paranormal Pursuit: The Gifted One,Paranormal Pursuit: The Gifted One 2015 Action by Alawar Entertainment rank 16112,paranormalpursuit:thegiftedone
15818,16113,DoDonPachi Saidaioujou,DoDonPachi Saidaioujou 2013 Shooter by Cave rank 16113,dodonpachisaidaioujou
15819,16114,Last Escort: Club Katze,Last Escort: Club Katze 2010 Adventure by D3Publisher rank 16114,lastescort:clubkatze
15820,16115,1/2 Summer +,1/2 Summer + 2013 Adventure by Kaga Create rank 16115,1/2summer+
15821,16116,Winning Post 7 Maximum 2008,Winning Post 7 Maximum 2008 2008 Sports by Tecmo Koei rank 16116,winningpost7maximum2008
15822,16117,Psycho-Pass,Psycho-Pass 2014 Adventure by 5pb rank 16117,psycho-pass
15823,16118,Brain Exercise With Dr. Kawashima,Brain Exercise With Dr. Kawashima 2009 Puzzle by Namco Bandai Games rank 16118,brainexercisewithdr.kawashima
15824,16119,Tears to Tiara: Kakan no Daichi Portable,Tears to Tiara: Kakan no Daichi Portable 2010 Adventure by Aqua Plus rank 16119,tearstotiara:kakannodaichiportable
15825,16120,Games Around the World,Games Around the World 2010 Misc by Zoo Games rank 16120,gamesaroundtheworld
15826,16121,Football Manager 2005,Football Manager 2005 2004 Sports by Sega rank 16121,footballmanager2005
15827,16122,Hitotsu Tobashi Renai V,Hitotsu Tobashi Renai V 2015 Adventure by Kaga Create rank 16122,hitotsutobashirenaiv
15828,16123,Ninja Gaiden Sigma 2,Ninja Gaiden Sigma 2 2013 Action by Tecmo Koei rank 16123,ninjagaidensigma2
15829,16124,Turbo Trainz,Turbo Trainz 2012 Racing by Mastertronic rank 16124,turbotrainz
15830,16125,Theatre Of War,Theatre Of War 2007 Strategy by Kalypso Media rank 16125,theatreofwar
15831,16126,Nintendogs and Cats Golden Retriever and New Friends,Nintendogs and Cats Golden Retriever and New Friends 2011 Action by Nintendo rank 16126,nintendogsandcatsgoldenretrieverandnewfriends
15832,16127,Young Justice: Legacy,Young Justice: Legacy 2013 Action by Namco Bandai Games rank 16127,youngjustice:legacy
15833,16128,Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu,Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu 2009 Adventure by Arc System Works rank 16128,tanteijinguujisaburods:fuseraretashinjitsu
15834,16129,Monster Rancher Advance 2,Monster Rancher Advance 2 2002 Simulation by Tecmo Koei rank 16129,monsterrancheradvance2
15835,16130,Madden NFL 13,Madden NFL 13 2012 Sports by Electronic Arts rank 16130,maddennfl13
15836,16131,Voodoo Chronicles: First Sign,Voodoo Chronicles: First Sign 2011 Adventure by ValuSoft rank 16131,voodoochronicles:firstsign
15837,16132,Umineko no Naku Koro ni Portable 1,Umineko no Naku Koro ni Portable 1 2011 Adventure by Alchemist rank 16132,uminekononakukoroniportable1
15838,16133,Dr. Slump & Arale-Chan,Dr. Slump & Arale-Chan 2008 Adventure by Namco Bandai Games rank 16133,dr.slump&arale-chan
15839,16134,Geten no Hana: Yume Akari,Geten no Hana: Yume Akari 2014 Misc by Tecmo Koei rank 16134,getennohana:yumeakari
15840,16135,Festa!! Hyper Girls Party,Festa!! Hyper Girls Party 2006 Adventure by KID rank 16135,festa!!hypergirlsparty
15841,16136,Collar x Malice,Collar x Malice 2016 Action by Idea Factory rank 16136,collarxmalice
15842,16137,Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore 2008 Misc by Benesse rank 16137,kikiitehajimaru:eigokaiwatraining-kikitore
15843,16138,Vanark,Vanark 1999 Shooter by Jaleco rank 16138,vanark
15844,16139,Dragon's Dogma Online: Season 2,Dragon's Dogma Online: Season 2 2016 Action by Capcom rank 16139,dragon'sdogmaonline:season2
15845,16140,Game Book DS: Sword World 2.0,Game Book DS: Sword World 2.0 2009 Role-Playing by Broccoli rank 16140,gamebookds:swordworld2.0
15846,16141,WTA Tour Tennis,WTA Tour Tennis 2002 Sports by Konami Digital Entertainment rank 16141,wtatourtennis
15847,16142,Norn + Nonette: Last Era,Norn + Nonette: Last Era 2015 Action by Idea Factory rank 16142,norn+nonette:lastera
15848,16143,BlazBlue: Calamity Trigger,BlazBlue: Calamity Trigger 2010 Fighting by PQube rank 16143,blazblue:calamitytrigger
15849,16144,Furious Karting,Furious Karting 2003 Racing by Atari rank 16144,furiouskarting
15850,16145,WSC REAL 09: World Snooker Championship,WSC REAL 09: World Snooker Championship 2009 Sports by Deep Silver rank 16145,wscreal09:worldsnookerchampionship
15851,16146,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets 2002 Action by Electronic Arts rank 16146,harrypotterandthechamberofsecrets
15852,16147,Pet Shop Monogatari DS 2,Pet Shop Monogatari DS 2 2010 Simulation by Taito rank 16147,petshopmonogatarids2
15853,16148,Mystery Legends: Beauty and the Beast,Mystery Legends: Beauty and the Beast 2012 Puzzle by Focus Multimedia rank 16148,mysterylegends:beautyandthebeast
15854,16149,Fuuraiki 3,Fuuraiki 3 2015 Action by Unknown rank 16149,fuuraiki3
15855,16150,Chokkan! Asonde Relaxuma,Chokkan! Asonde Relaxuma 2008 Action by Rocket Company rank 16150,chokkan!asonderelaxuma
15856,16151,Hot Wheels: Stunt Track Challenge /Hot Wheels: World Race,"Hot Wheels: Stunt Track Challenge /Hot Wheels: World Race 2006 Racing by Destination Software, Inc rank 16151",hotwheels:stunttrackchallenge/hotwheels:worldrace
15857,16152,Minna no Conveni,Minna no Conveni 2010 Simulation by Taito rank 16152,minnanoconveni
15858,16153,Accel World: Kasoku no Chouten,Accel World: Kasoku no Chouten 2013 Adventure by Namco Bandai Games rank 16153,accelworld:kasokunochouten
15859,16154,SoulCalibur Legends (JP sales),SoulCalibur Legends (JP sales) 2007 Action by Namco Bandai Games rank 16154,soulcaliburlegends(jpsales)
15860,16155,Izumo 2,Izumo 2 2006 Adventure by GN Software rank 16155,izumo2
15861,16156,Entaku no Seito: Students of Round,Entaku no Seito: Students of Round 2011 Role-Playing by ChunSoft rank 16156,entakunoseito:studentsofround
15862,16157,Bratz: Forever Diamondz,Bratz: Forever Diamondz 2006 Adventure by THQ rank 16157,bratz:foreverdiamondz
15863,16158,Isshoni Gohan. Portable,Isshoni Gohan. Portable 2013 Adventure by Boost On rank 16158,isshonigohan.portable
15864,16159,PC Engine Best Collention: Ginga Ojousama Densetsu Collection,PC Engine Best Collention: Ginga Ojousama Densetsu Collection 2008 Adventure by Hudson Soft rank 16159,pcenginebestcollention:gingaojousamadensetsucollection
15865,16160,King of Fighters 2002: Unlimited Match Tougeki Ver.,King of Fighters 2002: Unlimited Match Tougeki Ver. 2010 Fighting by SNK Playmore rank 16160,kingoffighters2002:unlimitedmatchtougekiver.
15866,16161,Monkey Madness: Island Escape,Monkey Madness: Island Escape 2010 Action by Storm City Games rank 16161,monkeymadness:islandescape
15867,16162,Malice,Malice 2004 Platform by Evolved Games rank 16162,malice
15868,16163,Raven Squad: Operation Hidden Dagger,Raven Squad: Operation Hidden Dagger 2009 Shooter by Evolved Games rank 16163,ravensquad:operationhiddendagger
15869,16164,htoL#NiQ: The Firefly Diary,htoL#NiQ: The Firefly Diary 2014 Platform by Nippon Ichi Software rank 16164,htol#niq:thefireflydiary
15870,16165,Tiger Woods PGA Tour 2005,Tiger Woods PGA Tour 2005 2004 Sports by Electronic Arts rank 16165,tigerwoodspgatour2005
15871,16166,Deus Ex,Deus Ex 2000 Role-Playing by Eidos Interactive rank 16166,deusex
15872,16167,Rosario to Vampire: Tanabata no Miss Youkai Gakuen,Rosario to Vampire: Tanabata no Miss Youkai Gakuen 2008 Adventure by Capcom rank 16167,rosariotovampire:tanabatanomissyoukaigakuen
15873,16168,Ouka Sengoku Portable,Ouka Sengoku Portable 2012 Adventure by Alchemist rank 16168,oukasengokuportable
15874,16169,Smiley World: Island Challenge,Smiley World: Island Challenge 2009 Puzzle by Zoo Digital Publishing rank 16169,smileyworld:islandchallenge
15875,16170,Order Up!!,Order Up!! 2011 Action by Funbox Media rank 16170,orderup!!
15876,16171,Wallace & Gromit: Curse of the Were-Rabbit,Wallace & Gromit: Curse of the Were-Rabbit 2005 Adventure by Konami Digital Entertainment rank 16171,wallace&gromit:curseofthewere-rabbit
15877,16172,Hanayamata: Yosakoi Live,Hanayamata: Yosakoi Live 2014 Adventure by Namco Bandai Games rank 16172,hanayamata:yosakoilive
15878,16173,Shepherd's Crossing,Shepherd's Crossing 2009 Simulation by Success rank 16173,shepherd'scrossing
15879,16174,Dark Parables: The Exiled Prince,Dark Parables: The Exiled Prince 2011 Puzzle by Unknown rank 16174,darkparables:theexiledprince
15880,16175,Military History: Commander - Europe at War,Military History: Commander - Europe at War 2009 Strategy by Slitherine Software rank 16175,militaryhistory:commander-europeatwar
15881,16176,Tactics Layer: Ritina Guard Senki,Tactics Layer: Ritina Guard Senki 2009 Strategy by D3Publisher rank 16176,tacticslayer:ritinaguardsenki
15882,16177,We Sing 80s,We Sing 80s 2012 Misc by Nordic Games rank 16177,wesing80s
15883,16178,Republique,Republique 2016 Action by Nippon Ichi Software rank 16178,republique
15884,16179,San-X Character Channel: All-Star Daishuugou!,San-X Character Channel: All-Star Daishuugou! 2008 Action by MTO rank 16179,san-xcharacterchannel:all-stardaishuugou!
15885,16180,Rail Simulator,Rail Simulator 2007 Simulation by Electronic Arts rank 16180,railsimulator
15886,16181,Putty Squad,Putty Squad 2013 Platform by System 3 rank 16181,puttysquad
15887,16182,Sega Golf Club: Miyazato San Kyoudai Naizou,Sega Golf Club: Miyazato San Kyoudai Naizou 2006 Sports by Sega rank 16182,segagolfclub:miyazatosankyoudainaizou
15888,16183,Rozen Maiden: Gebetgarten,Rozen Maiden: Gebetgarten 2007 Fighting by Taito rank 16183,rozenmaiden:gebetgarten
15889,16184,Resistance Dual Pack,Resistance Dual Pack 2011 Shooter by Sony Computer Entertainment rank 16184,resistancedualpack
15890,16185,Princess Arthur,Princess Arthur 2013 Misc by Idea Factory rank 16185,princessarthur
15891,16186,Sakura-Sou no Pet na Kanojo,Sakura-Sou no Pet na Kanojo 2013 Adventure by Kadokawa Games rank 16186,sakura-sounopetnakanojo
15892,16187,Fatal Fury: Battle Archives Volume 2 (JP sales),Fatal Fury: Battle Archives Volume 2 (JP sales) 2007 Fighting by SNK Playmore rank 16187,fatalfury:battlearchivesvolume2(jpsales)
15893,16188,Tantei Jinguuji Saburo: Hai to Diamond,Tantei Jinguuji Saburo: Hai to Diamond 2009 Adventure by Arc System Works rank 16188,tanteijinguujisaburo:haitodiamond
15894,16189,BattleForge,BattleForge 2009 Strategy by Electronic Arts rank 16189,battleforge
15895,16190,Jewel Quest II,Jewel Quest II 2007 Puzzle by Avanquest rank 16190,jewelquestii
15896,16191,Toro to Morimori,Toro to Morimori 2009 Misc by Sony Computer Entertainment rank 16191,torotomorimori
15897,16192,Sonic & All-Stars Racing Transformed,Sonic & All-Stars Racing Transformed 2013 Racing by Sega rank 16192,sonic&all-starsracingtransformed
15898,16193,Satisfashion,Satisfashion 2010 Misc by Destineer rank 16193,satisfashion
15899,16195,Metal Slug Anthology,Metal Slug Anthology 2007 Shooter by Ignition Entertainment rank 16195,metalsluganthology
15900,16196,K-1 Grand Prix,K-1 Grand Prix 1999 Fighting by Jaleco rank 16196,k-1grandprix
15901,16198,Legoland,Legoland 1999 Action by LEGO Media rank 16198,legoland
15902,16199,Rave Master: Special Attack Force!,Rave Master: Special Attack Force! 2002 Fighting by Konami Digital Entertainment rank 16199,ravemaster:specialattackforce!
15903,16200,Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono 2007 Strategy by D3Publisher rank 16200,simple2000seriesvol.120:thesaigononippontsuwamono
15904,16202,Casper,Casper 2002 Adventure by Microids rank 16202,casper
15905,16203,Hyakka Yakou,Hyakka Yakou 2015 Action by Unknown rank 16203,hyakkayakou
15906,16204,Adventure Time: The Secret of the Nameless,Adventure Time: The Secret of the Nameless 2014 Adventure by Little Orbit rank 16204,adventuretime:thesecretofthenameless
15907,16205,Hakuoki: Reimeiroku DS,Hakuoki: Reimeiroku DS 2012 Action by Idea Factory rank 16205,hakuoki:reimeirokuds
15908,16206,Shin Hayarigami 2,Shin Hayarigami 2 2016 Adventure by Nippon Ichi Software rank 16206,shinhayarigami2
15909,16207,Ro-Kyu-Bu! Secret Photo Op,Ro-Kyu-Bu! Secret Photo Op 2014 Adventure by Kadokawa Games rank 16207,ro-kyu-bu!secretphotoop
15910,16208,Caladrius,Caladrius 2013 Shooter by Moss rank 16208,caladrius
15911,16209,Who Wants to be a Millionaire: 2nd Edition,Who Wants to be a Millionaire: 2nd Edition 2008 Misc by Ubisoft rank 16209,whowantstobeamillionaire:2ndedition
15912,16210,Duel Love: Koisuru Otome wa Shouri no Megami,Duel Love: Koisuru Otome wa Shouri no Megami 2008 Adventure by Namco Bandai Games rank 16210,duellove:koisuruotomewashourinomegami
15913,16212,Freekstyle,Freekstyle 2003 Racing by Zoo Digital Publishing rank 16212,freekstyle
15914,16213,Groovin' Blocks,Groovin' Blocks 2009 Puzzle by Zoo Games rank 16213,groovin'blocks
15915,16214,Tomoyo After: It's a Wonderful Life CS Edition,Tomoyo After: It's a Wonderful Life CS Edition 2007 Adventure by Prototype rank 16214,tomoyoafter:it'sawonderfullifecsedition
15916,16215,Gardening Guide: How to get Green Fingers,Gardening Guide: How to get Green Fingers 2009 Misc by Mindscape rank 16215,gardeningguide:howtogetgreenfingers
15917,16216,Aa Megami-samaa,Aa Megami-samaa 2007 Adventure by Marvelous Interactive rank 16216,aamegami-samaa
15918,16217,Bunmei Kaika: Aoiza Ibunroku Saien,Bunmei Kaika: Aoiza Ibunroku Saien 2012 Action by FuRyu rank 16217,bunmeikaika:aoizaibunrokusaien
15919,16218,Tsukigime Ranko's Longest Day,Tsukigime Ranko's Longest Day 2014 Action by Namco Bandai Games rank 16218,tsukigimeranko'slongestday
15920,16219,Bakumatsu Rock,Bakumatsu Rock 2014 Action by Marvelous Entertainment rank 16219,bakumatsurock
15921,16220,Far East of Eden II: Manji Maru,Far East of Eden II: Manji Maru 2006 Role-Playing by Hudson Soft rank 16220,fareastofedenii:manjimaru
15922,16221,Family Jockey,Family Jockey 2008 Sports by Namco Bandai Games rank 16221,familyjockey
15923,16222,Thunder Alley,Thunder Alley 2004 Racing by XS Games rank 16222,thunderalley
15924,16223,Dynasty Warriors: Eiketsuden,Dynasty Warriors: Eiketsuden 2016 Action by Tecmo Koei rank 16223,dynastywarriors:eiketsuden
15925,16224,Spider-Man: Friend or Foe,Spider-Man: Friend or Foe 2007 Action by Activision rank 16224,spider-man:friendorfoe
15926,16225,Carmageddon: Max Damage,Carmageddon: Max Damage 2016 Action by Stainless Games rank 16225,carmageddon:maxdamage
15927,16226,Nyaruko-San: Nafushigatai Game no You na Mono,Nyaruko-San: Nafushigatai Game no You na Mono 2013 Adventure by 5pb rank 16226,nyaruko-san:nafushigataigamenoyounamono
15928,16227,New Interpretation Stranger of Sword City,New Interpretation Stranger of Sword City 2016 Role-Playing by Experience Inc. rank 16227,newinterpretationstrangerofswordcity
15929,16228,Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX 2007 Adventure by Datam Polystar rank 16228,soshitekonouchuunikiramekukiminoshixxx
15930,16229,Victory Spike,Victory Spike 1996 Sports by Imagineer rank 16229,victoryspike
15931,16230,Sengoku Basara 2 Heroes,Sengoku Basara 2 Heroes 2007 Action by Capcom rank 16230,sengokubasara2heroes
15932,16231,Double Sequence: The Q-Virus Invasion,Double Sequence: The Q-Virus Invasion 2008 Puzzle by Zoo Digital Publishing rank 16231,doublesequence:theq-virusinvasion
15933,16233,Hi Hi Puffy AmiYumi: The Genie & the Amp,Hi Hi Puffy AmiYumi: The Genie & the Amp 2006 Action by D3Publisher rank 16233,hihipuffyamiyumi:thegenie&theamp
15934,16234,Densetsu no Yuusha no Densetsu: Legendary Saga,Densetsu no Yuusha no Densetsu: Legendary Saga 2010 Role-Playing by Kadokawa Shoten rank 16234,densetsunoyuushanodensetsu:legendarysaga
15935,16235,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony 2008 Adventure by Marvelous Interactive rank 16235,zeronotsukaima:maigonoperiodtoikusennosymphony
15936,16236,Marvel: Ultimate Alliance,Marvel: Ultimate Alliance 2006 Role-Playing by Activision rank 16236,marvel:ultimatealliance
15937,16237,Broken Sword 5: The Serpent's Curse,Broken Sword 5: The Serpent's Curse 2015 Adventure by Revolution Software rank 16237,brokensword5:theserpent'scurse
15938,16238,Shitsuji ga Aruji o Erabu Toki,Shitsuji ga Aruji o Erabu Toki 2016 Adventure by Unknown rank 16238,shitsujigaarujioerabutoki
15939,16239,Batman: A Telltale Game Series,Batman: A Telltale Game Series 2016 Adventure by Telltale Games rank 16239,batman:atelltalegameseries
15940,16240,Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,Hiiro no Kakera: Shin Tamayori Hime Denshou Portable 2010 Adventure by Idea Factory rank 16240,hiironokakera:shintamayorihimedenshouportable
15941,16241,Kao the Kangaroo,Kao the Kangaroo 2001 Platform by Titus rank 16241,kaothekangaroo
15942,16242,Builder's Block,Builder's Block 1999 Strategy by EON Digital Entertainment rank 16242,builder'sblock
15943,16243,Seisou no Amazones,Seisou no Amazones 2013 Role-Playing by Arc System Works rank 16243,seisounoamazones
15944,16244,Phantasy Star Online 2 Episode 4: Deluxe Package,Phantasy Star Online 2 Episode 4: Deluxe Package 2017 Role-Playing by Sega rank 16244,phantasystaronline2episode4:deluxepackage
15945,16245,F.E.A.R. Perseus Mandate,F.E.A.R. Perseus Mandate 2007 Shooter by Vivendi Games rank 16245,f.e.a.r.perseusmandate
15946,16246,Mahjong Taikai IV,Mahjong Taikai IV 2006 Misc by Tecmo Koei rank 16246,mahjongtaikaiiv
15947,16247,Valentino Rossi: The Game,Valentino Rossi: The Game 2016 Racing by Namco Bandai Games rank 16247,valentinorossi:thegame
15948,16248,FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage 2008 Racing by Empire Interactive rank 16248,flatout:ultimatecarnage
15949,16250,Ultraman Fighting Evolution 0,Ultraman Fighting Evolution 0 2006 Fighting by Banpresto rank 16250,ultramanfightingevolution0
15950,16251,Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box 2009 Simulation by Konami Digital Entertainment rank 16251,gokuhou!!mechamoteiinchou:girlsmotekawabox
15951,16252,Aquaman: Battle for Atlantis,Aquaman: Battle for Atlantis 2003 Action by TDK Mediactive rank 16252,aquaman:battleforatlantis
15952,16253,Strider (2014),Strider (2014) 2014 Platform by Capcom rank 16253,strider(2014)
15953,16254,Jinsei Game Q DS: Shouwa no Dekigoto,Jinsei Game Q DS: Shouwa no Dekigoto 2007 Misc by Takara Tomy rank 16254,jinseigameqds:shouwanodekigoto
15954,16255,The Book of Unwritten Tales 2,The Book of Unwritten Tales 2 2016 Adventure by Nordic Games rank 16255,thebookofunwrittentales2
15955,16256,Doraemon Wii: Himitsu Douguou Ketteisen!,Doraemon Wii: Himitsu Douguou Ketteisen! 2007 Misc by Sega rank 16256,doraemonwii:himitsudouguouketteisen!
15956,16257,Goku Makaimura Kai,Goku Makaimura Kai 2007 Platform by Capcom rank 16257,gokumakaimurakai
15957,16258,No Fate! Only the Power of Will,No Fate! Only the Power of Will 2010 Adventure by Alchemist rank 16258,nofate!onlythepowerofwill
15958,16259,Conflict: Denied Ops,Conflict: Denied Ops 2008 Shooter by Eidos Interactive rank 16259,conflict:deniedops
15959,16260,Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita,Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita 2009 Role-Playing by Nippon Ichi Software rank 16260,makaisenkidisgaea3appenddisc:raspberyl-henhajimemashita
15960,16261,Championship Manager 2010,Championship Manager 2010 2009 Sports by Eidos Interactive rank 16261,championshipmanager2010
15961,16262,Simple DS Series Vol. 41: The Bakudan Shori-Han,Simple DS Series Vol. 41: The Bakudan Shori-Han 2008 Action by D3Publisher rank 16262,simpledsseriesvol.41:thebakudanshori-han
15962,16263,Paragon,Paragon 2016 Action by Epic Games rank 16263,paragon
15963,16264,Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,Naxat Soft Reachmania Vol. 1: CR Galaxy Angel 2008 Misc by Naxat Soft rank 16264,naxatsoftreachmaniavol.1:crgalaxyangel
15964,16265,"Hanayaka Kana, Ware ga Ichizoku","Hanayaka Kana, Ware ga Ichizoku 2010 Adventure by Idea Factory rank 16265","hanayakakana,waregaichizoku"
15965,16266,Mamoru-kun wa Norowarete Shimatta!,Mamoru-kun wa Norowarete Shimatta! 2009 Shooter by G.Rev rank 16266,mamoru-kunwanorowareteshimatta!
15966,16267,Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku 2010 Strategy by System Soft rank 16267,sengokuhime2arashi:hyakubanasenrantatsukazenogotoku
15967,16268,Myself; Yourself,Myself; Yourself 2007 Adventure by Yeti rank 16268,myself;yourself
15968,16269,Kurogane Kaikitan,Kurogane Kaikitan 2015 Adventure by Minato Station rank 16269,kuroganekaikitan
15969,16270,Starry ? Sky: After Autumn,Starry ? Sky: After Autumn 2011 Misc by Aqua Plus rank 16270,starry?sky:afterautumn
15970,16271,Dokuro,Dokuro 2012 Action by GungHo rank 16271,dokuro
15971,16272,Slide Adventure: Mag Kid,Slide Adventure: Mag Kid 2007 Action by Nintendo rank 16272,slideadventure:magkid
15972,16273,Smuggler's Run,Smuggler's Run 2002 Racing by Rebellion rank 16273,smuggler'srun
15973,16274,The Humans: Meet the Ancestors!,The Humans: Meet the Ancestors! 2009 Puzzle by Deep Silver rank 16274,thehumans:meettheancestors!
15974,16275,Chaos;Head Noah,Chaos;Head Noah 2014 Adventure by 5pb rank 16275,chaos;headnoah
15975,16276,Battlestations: Midway,Battlestations: Midway 2007 Strategy by Eidos Interactive rank 16276,battlestations:midway
15976,16277,Farming Simulator 15 Expansion Pack,Farming Simulator 15 Expansion Pack 2015 Action by Focus Home Interactive rank 16277,farmingsimulator15expansionpack
15977,16278,Jan Sangoku Musou,Jan Sangoku Musou 2006 Misc by Tecmo Koei rank 16278,jansangokumusou
15978,16279,Assetto Corsa,Assetto Corsa 2016 Racing by 505 Games rank 16279,assettocorsa
15979,16280,Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,Kono Aozora ni Yakusoku o: Melody of the Sun and Sea 2007 Adventure by Alchemist rank 16280,konoaozoraniyakusokuo:melodyofthesunandsea
15980,16281,Monster Bomber,Monster Bomber 2006 Puzzle by 505 Games rank 16281,monsterbomber
15981,16282,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis 2009 Misc by Tecmo Koei rank 16282,rakushou!pachi-slotsengen6:rio2cruisingvanadis
15982,16283,Fatal Fury: Battle Archives Volume 1 (JP sales),Fatal Fury: Battle Archives Volume 1 (JP sales) 2006 Fighting by Ignition Entertainment rank 16283,fatalfury:battlearchivesvolume1(jpsales)
15983,16284,CT Special Forces 2: Back in the Trenches,CT Special Forces 2: Back in the Trenches 2003 Shooter by LSP Games rank 16284,ctspecialforces2:backinthetrenches
15984,16285,Kamaitachi no Yoru 2: Tokubetsu Hen,Kamaitachi no Yoru 2: Tokubetsu Hen 2006 Adventure by ChunSoft rank 16285,kamaitachinoyoru2:tokubetsuhen
15985,16286,The Chronicles of Riddick: Assault on Dark Athena,The Chronicles of Riddick: Assault on Dark Athena 2009 Shooter by Vivendi Games rank 16286,thechroniclesofriddick:assaultondarkathena
15986,16287,The Ultimate Battle of the Sexes,The Ultimate Battle of the Sexes 2010 Misc by DTP Entertainment rank 16287,theultimatebattleofthesexes
15987,16288,Root Double: Before Crime After Days,Root Double: Before Crime After Days 2012 Action by Yeti rank 16288,rootdouble:beforecrimeafterdays
15988,16289,War for the Overworld,War for the Overworld 2015 Strategy by Unknown rank 16289,warfortheoverworld
15989,16290,TimeShift,TimeShift 2007 Shooter by Vivendi Games rank 16290,timeshift
15990,16291,ef - a fairy tale of the two.,ef - a fairy tale of the two. 2010 Adventure by Comfort rank 16291,ef-afairytaleofthetwo.
15991,16292,The Train Giant,The Train Giant 2012 Strategy by Ascaron Entertainment rank 16292,thetraingiant
15992,16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,Sangoku Koi Senki: Omoide Gaeshi - CS Edition 2016 Adventure by Prototype rank 16293,sangokukoisenki:omoidegaeshi-csedition
15993,16294,FairlyLife: MiracleDays,FairlyLife: MiracleDays 2010 Adventure by Piacci rank 16294,fairlylife:miracledays
15994,16295,Surf's Up,Surf's Up 2007 Sports by Ubisoft rank 16295,surf'sup
15995,16296,Jambo! Safari Animal Rescue,Jambo! Safari Animal Rescue 2009 Simulation by Sega rank 16296,jambo!safarianimalrescue
15996,16297,Death Connection Portable,Death Connection Portable 2011 Adventure by Idea Factory rank 16297,deathconnectionportable
15997,16298,Rainbow Islands: Revolution,Rainbow Islands: Revolution 2005 Action by Rising Star Games rank 16298,rainbowislands:revolution
15998,16299,Legend of Kay Anniversary,Legend of Kay Anniversary 2015 Action by Nordic Games rank 16299,legendofkayanniversary
15999,16300,Rakushou! Pachi-Slot Sengen 4,Rakushou! Pachi-Slot Sengen 4 2006 Misc by Tecmo Koei rank 16300,rakushou!pachi-slotsengen4
16000,16301,Nitroplus Blasterz: Heroines Infinite Duel,Nitroplus Blasterz: Heroines Infinite Duel 2015 Fighting by Nitroplus rank 16301,nitroplusblasterz:heroinesinfiniteduel
16001,16302,Moe Moe 2-Ji Daisenryaku 2,Moe Moe 2-Ji Daisenryaku 2 2010 Strategy by System Soft rank 16302,moemoe2-jidaisenryaku2
16002,16303,Tsuyo Kiss 3 Portable,Tsuyo Kiss 3 Portable 2012 Action by NetRevo rank 16303,tsuyokiss3portable
16003,16304,Fireman Sam: Action Stations,Fireman Sam: Action Stations 2013 Action by Avanquest Software rank 16304,firemansam:actionstations
16004,16305,Tetris Ultimate,Tetris Ultimate 2014 Puzzle by Ubisoft rank 16305,tetrisultimate
16005,16306,Durarara!! Relay,Durarara!! Relay 2015 Action by Kadokawa Games rank 16306,durarara!!relay
