,Rank,Name,Overview
14492,14755,Star Wars The Clone Wars: Republic Heroes,2009 Action by LucasArts rank 14755
14493,14756,CID The Dummy,2009 Platform by Oxygen Interactive rank 14756
14494,14757,Xblaze: Lost Memories,2015 Adventure by Arc System Works rank 14757
14495,14758,DiRT Rally,2016 Racing by Codemasters rank 14758
14496,14759,The Perfect Golf,1995 Sports by Seta Corporation rank 14759
14497,14760,Let's Sing 2016,2015 Action by FuRyu Corporation rank 14760
14498,14761,Wrestle Kingdom,2006 Fighting by Yuke's rank 14761
14499,14762,Demon Driver: Time to Burn Rubber!,2003 Racing by Ignition Entertainment rank 14762
14500,14763,The Golf Club,2014 Sports by Unknown rank 14763
14501,14764,Bigfoot King of Crush,2011 Racing by Zoo Games rank 14764
14502,14765,Mojo!,2003 Puzzle by DreamCatcher Interactive rank 14765
14503,14766,Infinite Stratos 2: Ignition Hearts,2014 Adventure by 5pb rank 14766
14504,14767,Cabela's Big Game Hunter: Pro Hunts,2014 Shooter by Activision rank 14767
14505,14768,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,2006 Adventure by Konami Digital Entertainment rank 14768
14506,14769,Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,2013 Fighting by Arc System Works rank 14769
14507,14770,The Sims 2: Bon Voyage,2007 Simulation by Electronic Arts rank 14770
14508,14771,Buffy the Vampire Slayer: Chaos Bleeds,2003 Action by Vivendi Games rank 14771
14509,14772,Clannad,2008 Adventure by Prototype rank 14772
14510,14773,Brothers Conflict: Passion Pink,2012 Action by Idea Factory rank 14773
14511,14774,Kuryuu Youma Gakuenki Recharge,2006 Adventure by Atlus rank 14774
14512,14775,My Frogger: Toy Trials,2006 Action by Konami Digital Entertainment rank 14775
14513,14776,Jet Grind Radio,2003 Action by Sega rank 14776
14514,14777,Farm Frenzy 3,2011 Strategy by Unknown rank 14777
14515,14778,Strike Witches: Aoi no Dengekisen - Shin Taichou Funtousuru!,2009 Action by Russel rank 14778
14516,14779,3DS Classic Collection,2016 Misc by Sega rank 14779
14517,14780,Baldur's Gate: Dark Alliance,"2004 Role-Playing by Destination Software, Inc rank 14780"
14518,14781,GRID Autosport,2014 Racing by Codemasters rank 14781
14519,14782,The Adventures of Lomax,1996 Platform by Psygnosis rank 14782
14520,14783,Neverwinter Nights Diamond,2004 Role-Playing by Atari rank 14783
14521,14784,Divinity II: Flames of Vengeance,2010 Role-Playing by DTP Entertainment rank 14784
14522,14785,Under the Skin,2004 Action by Capcom rank 14785
14523,14786,Battlefield 2142,2006 Shooter by Electronic Arts rank 14786
14524,14787,Kabu Trader Shun,2007 Action by Capcom rank 14787
14525,14788,Air Conflicts: Secret Wars,2011 Simulation by bitComposer Games rank 14788
14526,14789,Poy Poy,1997 Action by Konami Digital Entertainment rank 14789
14527,14790,Hermie Hopperhead: Scrap Panic,1995 Platform by Sony Computer Entertainment rank 14790
14528,14791,Lost Planet 2,2010 Shooter by Capcom rank 14791
14529,14792,NHL 07,2006 Sports by Electronic Arts rank 14792
14530,14793,DrumMania 7th Mix,2001 Simulation by Konami Digital Entertainment rank 14793
14531,14794,Runabout 3: Neo Age,2002 Racing by BAM! Entertainment rank 14794
14532,14795,AMNESIA World,2014 Adventure by Idea Factory rank 14795
14533,14796,Captain Morgane and the Golden Turtle,2012 Adventure by Reef Entertainment rank 14796
14534,14797,Bully: Scholarship Edition,2008 Action by Take-Two Interactive rank 14797
14535,14798,My Ballet Studio,2009 Simulation by 505 Games rank 14798
14536,14799,Guild Wars,2005 Role-Playing by NCSoft rank 14799
14537,14800,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,2010 Adventure by Prototype rank 14800
14538,14801,Archer Maclean Presents: Pool Paradise,2004 Sports by Ignition Entertainment rank 14801
14539,14802,Sengoku Efuda Yuugi: Hototogisu Tairan,2010 Strategy by Irem Software Engineering rank 14802
14540,14803,Battlezone,2006 Shooter by Atari rank 14803
14541,14804,Ookiku Furikabutte: Honto no Ace ni Nareru kamo,2007 Sports by Marvelous Interactive rank 14804
14542,14805,Medal of Honor: Vanguard,2007 Shooter by Electronic Arts rank 14805
14543,14806,Touch Shot! Love Application,2012 Adventure by Compile Heart rank 14806
14544,14807,Nanotek Warrior,1997 Shooter by Virgin Interactive rank 14807
14545,14808,Galileo,2008 Adventure by D3Publisher rank 14808
14546,14809,Cake Mania: Baker's Challenge,2008 Puzzle by Destineer rank 14809
14547,14810,Captain Tsubasa J: The Way to World Youth,1995 Sports by Namco Bandai Games rank 14810
14548,14811,Super Monkey Ball Adventure,2006 Platform by Sega rank 14811
14549,14812,Alien Breed Trilogy,2011 Shooter by Mastertronic rank 14812
14550,14813,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,2015 Simulation by FuRyu rank 14813
14551,14814,Sengoku Basara: Sanada Yukimura-Den,2016 Action by Capcom rank 14814
14552,14815,CID The Dummy,2009 Platform by Oxygen Interactive rank 14815
14553,14816,Kisuato,2015 Adventure by TGL rank 14816
14554,14817,Madden NFL 07,2006 Sports by Electronic Arts rank 14817
14555,14818,Renegade Racers,1999 Racing by Interplay rank 14818
14556,14819,The Legend of Korra (3DS),2014 Strategy by Activision rank 14819
14557,14820,AniMates!,2007 Simulation by Lexicon Entertainment rank 14820
14558,14821,Monster High 13 Wishes,2013 Action by Little Orbit rank 14821
14559,14822,Franklin the Turtle,2005 Misc by Game Factory rank 14822
14560,14823,Steins;Gate 0,2015 Adventure by 5pb rank 14823
14561,14824,Catan,2009 Strategy by CDV Software Entertainment rank 14824
14562,14825,Backyard NFL Football,2007 Sports by Atari rank 14825
14563,14826,Captain Morgane and the Golden Turtle,2012 Adventure by Reef Entertainment rank 14826
14564,14827,Gauntlet / Rampart,2005 Misc by Zoo Digital Publishing rank 14827
14565,14828,Age of Empires III: Gold Edition,2007 Strategy by Microsoft Game Studios rank 14828
14566,14829,Let's Play Ballerina,2010 Sports by Deep Silver rank 14829
14567,14830,Disney Planes Fire & Rescue,2014 Action by Disney Interactive Studios rank 14830
14568,14831,Dream Girl Premier,2015 Misc by Alchemist rank 14831
14569,14832,River King: Wonderful Journey,2005 Sports by 505 Games rank 14832
14570,14833,Senran Kagura: Bon Appétit!,2014 Misc by Marvelous Entertainment rank 14833
14571,14834,Ducati Moto,2008 Racing by Vir2L Studios rank 14834
14572,14835,Justice League Heroes: The Flash,2006 Action by Eidos Interactive rank 14835
14573,14836,Pop Cutie! Street Fashion Simulation (JP sales),2008 Simulation by Tecmo Koei rank 14836
14574,14837,The Peanuts Movie: Snoopy's Grand Adventure,2015 Action by Activision rank 14837
14575,14838,Kawasaki Snowmobiles,2008 Racing by Metro 3D rank 14838
14576,14839,Dungeon Siege II,2005 Role-Playing by Microsoft Game Studios rank 14839
14577,14840,Bae Yong-joon to Manabu Kankokugo DS,2009 Misc by D3Publisher rank 14840
14578,14841,World War II Combat: Road To Berlin,2006 Shooter by Groove Games rank 14841
14579,14842,Metal Saga,2005 Role-Playing by Success rank 14842
14580,14843,Imagine: Sweet 16,2010 Simulation by Ubisoft rank 14843
14581,14844,SWAT 4,2005 Shooter by Vivendi Games rank 14844
14582,14845,Last Escort 2: Shinya no Amai Toge,2008 Adventure by D3Publisher rank 14845
14583,14846,Pop'n Music 13 Carnival,2006 Simulation by Konami Digital Entertainment rank 14846
14584,14847,Magicka Collection,2011 Adventure by Unknown rank 14847
14585,14848,Bookworm,2004 Puzzle by Unknown rank 14848
14586,14849,Tokushu Houdoubu,2012 Adventure by Nippon Ichi Software rank 14849
14587,14850,Terraria,2016 Action by 505 Games rank 14850
14588,14851,My DoItAll,2009 Misc by Tomy Corporation rank 14851
14589,14853,Shakugan no Shana,2006 Adventure by Media Works rank 14853
14590,14854,Monster Mayhem: Build and Battle,2009 Simulation by Zushi Games rank 14854
14591,14855,I Heart Geeks,2011 Puzzle by CDV Software Entertainment rank 14855
14592,14856,Hokuto no Ken: Hokuto Shinken Denshousha no Michi,2008 Action by Spike rank 14856
14593,14857,The Lord of the Rings: Conquest,2009 Action by Electronic Arts rank 14857
14594,14859,Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,2011 Adventure by Idea Factory rank 14859
14595,14860,Little Busters! Converted Edition,2012 Action by Prototype rank 14860
14596,14861,Hankou Shashin,1996 Adventure by Imagineer rank 14861
14597,14862,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,2015 Role-Playing by Idea Factory rank 14862
14598,14863,Marker Man Adventures,2009 Platform by Majesco Entertainment rank 14863
14599,14864,Capcom Digital Collection,2012 Action by Capcom rank 14864
14600,14865,Pro Yakyuu Family Stadium,2008 Sports by Namco Bandai Games rank 14865
14601,14866,Open Season,2006 Platform by Ubisoft rank 14866
14602,14867,Monster Hunter Frontier Online: Forward 2,2011 Role-Playing by Capcom rank 14867
14603,14868,Moyashimon DS,2009 Action by Takara Tomy rank 14868
14604,14869,A Ressha de Gyoukou 2001,2001 Simulation by ArtDink rank 14869
14605,14870,Diabolik Lovers: Lunatic Parade,2016 Adventure by Idea Factory rank 14870
14606,14871,Let's Dance with Mel B,2011 Sports by Black Bean Games rank 14871
14607,14872,Battlestations: Pacific,2009 Strategy by Eidos Interactive rank 14872
14608,14873,Neverwinter Nights 2,2006 Role-Playing by Atari rank 14873
14609,14874,Starry ? Sky: In Autumn,2010 Misc by Asgard rank 14874
14610,14875,Battlefield 1942,2002 Shooter by Electronic Arts rank 14875
14611,14876,Back to the Future: The Game,2015 Adventure by Telltale Games rank 14876
14612,14877,Pitball,1996 Sports by Time Warner Interactive rank 14877
14613,14878,X-Men Origins: Wolverine - Uncaged Edition,2009 Action by Activision rank 14878
14614,14880,D.C. III: Da Capo III,2013 Adventure by Kadokawa Games rank 14880
14615,14881,Judge Dredd: Dredd Vs Death,2003 Shooter by BAM! Entertainment rank 14881
14616,14882,Ocean Commander,2009 Simulation by Valcon Games rank 14882
14617,14883,Drome Racers,2003 Racing by THQ rank 14883
14618,14884,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,2012 Adventure by Idea Factory rank 14884
14619,14885,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015 Misc by Namco Bandai Games rank 14885
14620,14886,Tank Beat,2006 Strategy by Midas Interactive Entertainment rank 14886
14621,14887,LEGO Pirates of the Caribbean: The Video Game,2011 Action by Disney Interactive Studios rank 14887
14622,14888,Turbo: Super Stunt Squad,2013 Sports by D3Publisher rank 14888
14623,14889,Jurassic Park: Operation Genesis,2003 Simulation by Vivendi Games rank 14889
14624,14890,The Peanuts Movie: Snoopy's Grand Adventure,2015 Action by Activision rank 14890
14625,14891,Tenkaichi * Sengoku Lovers,2010 Adventure by Rocket Company rank 14891
14626,14892,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,2013 Misc by Paon Corporation rank 14892
14627,14893,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,2007 Misc by Sega rank 14893
14628,14894,Bode Miller Alpine Skiing,2006 Sports by Valcon Games rank 14894
14629,14895,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,2006 Role-Playing by Marvelous Interactive rank 14895
14630,14896,R-Type Delta,1998 Shooter by Irem Software Engineering rank 14896
14631,14897,Angelique: Maren no Rokukishi,2011 Adventure by Idea Factory rank 14897
14632,14898,Soul Eater: Battle Resonance,2009 Action by Namco Bandai Games rank 14898
14633,14899,Psycho-Pass: Mandatory Happiness,2016 Adventure by Nippon Ichi Software rank 14899
14634,14900,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,2008 Misc by D3Publisher rank 14900
14635,14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,1994 Action by Banpresto rank 14901
14636,14902,Napoleon Dynamite: The Game,2007 Puzzle by Crave Entertainment rank 14902
14637,14903,Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,2008 Simulation by Broccoli rank 14903
14638,14904,Rock 'N' Roll Adventures,2007 Platform by Popcorn Arcade rank 14904
14639,14905,War Gods,1996 Fighting by GT Interactive rank 14905
14640,14906,Evangelion: Jo,2009 Action by Namco Bandai Games rank 14906
14641,14907,Doki Oki,1995 Adventure by Banpresto rank 14907
14642,14908,Gakuen Alice: WakuWaku * Happy Friends,2007 Adventure by Kids Station rank 14908
14643,14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,2012 Adventure by ChunSoft rank 14909
14644,14910,Konohana 2: Todoke Kanai Requiem,2002 Adventure by Success rank 14910
14645,14911,Derby Time 2006,2006 Sports by Sony Computer Entertainment rank 14911
14646,14912,Yuusha Shisu.,2016 Role-Playing by Nippon Ichi Software rank 14912
14647,14913,Monster Mayhem: Build and Battle,2009 Simulation by Zushi Games rank 14913
14648,14914,Senjou no Waltz,2014 Adventure by Idea Factory rank 14914
14649,14915,Chuck E. Cheese's Sports Games,2011 Sports by UFO Interactive rank 14915
14650,14916,Ghostbusters (2016),2016 Action by Activision rank 14916
14651,14917,Stronghold 2 Deluxe,2005 Strategy by Take-Two Interactive rank 14917
14652,14918,MAPLUS: Portable Navi 3,2009 Misc by Edia rank 14918
14653,14919,DEATH NOTE: L o Tsugu Mono,2007 Adventure by Konami Digital Entertainment rank 14919
14654,14920,ZooCube,2002 Puzzle by Acclaim Entertainment rank 14920
14655,14921,Puppet Show 3: Lost Town,2011 Puzzle by Focus Home Interactive rank 14921
14656,14922,Star Wars: Empire at War - Forces of Corruption,2006 Strategy by LucasArts rank 14922
14657,14923,Spy Hunter / Super Sprint,2005 Racing by Zoo Digital Publishing rank 14923
14658,14924,Otometeki Koi Kakumei * Love Revo! Portable,2010 Adventure by Idea Factory rank 14924
14659,14925,Clover no Kuni no Alice: Wonderful Wonder World,2010 Adventure by Prototype rank 14925
14660,14926,Room Zoom: Race for Impact,2004 Racing by Jaleco rank 14926
14661,14927,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,2013 Adventure by 5pb rank 14927
14662,14929,Ghost Pirates of Vooju Island,2009 Adventure by DTP Entertainment rank 14929
14663,14930,America Oudan Ultra-Quiz,1995 Misc by Victor Interactive rank 14930
14664,14931,DoDonPachi Dai-Oujou: Black Label Extra,2009 Shooter by 5pb rank 14931
14665,14932,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,2009 Misc by PlayV rank 14932
14666,14933,ParaWorld,2006 Strategy by Deep Silver rank 14933
14667,14934,Tropico Reloaded,2009 Strategy by Kalypso Media rank 14934
14668,14935,Shinseiki Evangelion: Battle Orchestra,2007 Fighting by Broccoli rank 14935
14669,14936,Pharaoh,1998 Strategy by Vivendi Games rank 14936
14670,14937,Vampire Mansion: Linda Hyde,2011 Adventure by Unknown rank 14937
14671,14938,Yes! Precure 5 Go Go Zenin Shu Go! Dream Festival,2008 Action by Namco Bandai Games rank 14938
14672,14939,Battlefield 2: Modern Combat(JP sales),2005 Shooter by Electronic Arts rank 14939
14673,14940,The Idolmaster: Gravure For You! Vol.7,2012 Action by Namco Bandai Games rank 14940
14674,14941,Stake: Fortune Fighters,2003 Fighting by Metro 3D rank 14941
14675,14942,Serious Sam Advance,2004 Shooter by Global Star rank 14942
14676,14943,The Settlers: Rise of an Empire,2007 Strategy by Ubisoft rank 14943
14677,14944,Let's Play Garden,2010 Simulation by Deep Silver rank 14944
14678,14946,Pop'n Music 12 Iroha,2006 Simulation by Konami Digital Entertainment rank 14946
14679,14947,BeatMania IIDX 11: IIDX Red,2006 Simulation by Konami Digital Entertainment rank 14947
14680,14948,Warhammer Online: Age of Reckoning,2008 Role-Playing by GOA rank 14948
14681,14949,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,2005 Sports by Konami Digital Entertainment rank 14949
14682,14950,Road Trip: The Arcade Edition,2002 Racing by Zoo Digital Publishing rank 14950
14683,14951,Juusanshi Engi Engetsu Sangokuden 2,2014 Action by Idea Factory rank 14951
14684,14952,No More Heroes: Heroes' Paradise,2010 Action by Marvelous Interactive rank 14952
14685,14953,Virtua Tennis: World Tour (jp sales),2005 Sports by Sega rank 14953
14686,14954,World Series of Poker 2008: Battle for the Bracelets,2007 Misc by Activision rank 14954
14687,14955,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,2012 Action by 5pb rank 14955
14688,14956,Cold War,2005 Shooter by DreamCatcher Interactive rank 14956
14689,14957,Steel Battalion: Line of Contact,2004 Simulation by Capcom rank 14957
14690,14958,Naruto Shippuden: Ultimate Ninja Storm Collection,2016 Action by Namco Bandai Games rank 14958
14691,14959,Ken to Mahou to Gakuen Mono. 2G,2010 Role-Playing by Acquire rank 14959
14692,14960,NBA Starting Five,2002 Sports by Konami Digital Entertainment rank 14960
14693,14961,Kami Naru Kimi to,2011 Adventure by Idea Factory rank 14961
14694,14962,Spy Hunter: Nowhere To Run,2006 Racing by Midway Games rank 14962
14695,14963,LEGO Harry Potter: Years 1-4,2010 Action by Warner Bros. Interactive Entertainment rank 14963
14696,14964,Ikki Tousen: Eloquent Fist,2008 Fighting by Marvelous Interactive rank 14964
14697,14965,Viva Pinata,2007 Simulation by Microsoft Game Studios rank 14965
14698,14966,Carmen Sandiego: The Secret of the Stolen Drums,2004 Action by BAM! Entertainment rank 14966
14699,14967,Disney's Magical Quest 3 Starring Mickey and Donald,2003 Action by Capcom rank 14967
14700,14968,Chili Con Carnage,2007 Shooter by Eidos Interactive rank 14968
14701,14969,Bus Simulator 16,2016 Simulation by Astragon rank 14969
14702,14970,Rengoku II:  The Stairway To H.E.A.V.E.N.,2006 Action by Konami Digital Entertainment rank 14970
14703,14971,Teddy Together,2016 Simulation by Nintendo rank 14971
14704,14972,Pony Luv,2008 Simulation by GSP rank 14972
14705,14973,Strike Witches 2: Iyasu Naosu Punipunisuru,2010 Action by Kadokawa Shoten rank 14973
14706,14974,Omega Quintet,2014 Role-Playing by Compile Heart rank 14974
14707,14975,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,2015 Action by Namco Bandai Games rank 14975
14708,14976,Demigod,2009 Strategy by Atari rank 14976
14709,14977,The Voice,2014 Action by Activision rank 14977
14710,14978,"Ed, Edd n Eddy: The Mis-Edventures",2005 Platform by Midway Games rank 14978
14711,14979,Bunmei Haruka: Aoiza Ibunroku,2011 Action by FuRyu rank 14979
14712,14980,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,2015 Adventure by Namco Bandai Games rank 14980
14713,14981,Blade Arcus from Shining EX,2015 Fighting by Sega rank 14981
14714,14982,Vantage Master Portable,2008 Role-Playing by Falcom Corporation rank 14982
14715,14983,Lilpri DS: Hime-Chen! Apple Pink,2010 Adventure by Sega rank 14983
14716,14984,Star Trek Online,2010 Role-Playing by Atari rank 14984
14717,14985,Rapala for Kinect,2011 Sports by Activision rank 14985
14718,14986,Rugby Challenge 3,2016 Sports by Alternative Software rank 14986
14719,14987,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",2008 Misc by D3Publisher rank 14987
14720,14988,Diabolik Lovers: Vandead Carnival,2014 Action by Idea Factory rank 14988
14721,14989,O.M.G. 26 - Our Mini Games,2007 Puzzle by 505 Games rank 14989
14722,14990,Ty the Tasmanian Tiger 3: Night of the Quinkan,2005 Action by Zoo Digital Publishing rank 14990
14723,14991,AMF Xtreme Bowling,2006 Sports by Mastertronic rank 14991
14724,14992,Total Overdose: A Gunslinger's Tale in Mexico,2005 Shooter by Eidos Interactive rank 14992
14725,14993,Bomberman Fantasy Race,1998 Racing by Virgin Interactive rank 14993
14726,14994,Colin McRae Rally 2.0,2002 Racing by Codemasters rank 14994
14727,14995,Carnage Heart EXA,2010 Strategy by ArtDink rank 14995
14728,14996,Tropico 4: Modern Times,2012 Strategy by Kalypso Media rank 14996
14729,14997,Europa Universalis III Complete,2008 Strategy by Paradox Interactive rank 14997
14730,14998,Bugriders: The Race of Kings,1997 Racing by GT Interactive rank 14998
14731,14999,Bust-A-Move,1994 Puzzle by Micro Cabin rank 14999
14732,15003,Wangan Midnight Portable,2007 Racing by Genki rank 15003
14733,15004,Cross Ange: Tenshi to Ryuu no Rondo tr.,2015 Action by Namco Bandai Games rank 15004
14734,15005,Canvas 2,2006 Adventure by Kadokawa Shoten rank 15005
14735,15006,Memories Off: Sorekara Again,2006 Adventure by KID rank 15006
14736,15007,Tom Clancy's Rainbow Six: Vegas 2,2008 Shooter by Ubisoft rank 15007
14737,15008,11eyes: CrossOver,2009 Adventure by 5pb rank 15008
14738,15009,Kenka Bancho Otome,2016 Action by Screenlife rank 15009
14739,15010,Supermodel Makeover by Lauren Luke,2009 Simulation by Avanquest rank 15010
14740,15011,George of the Jungle and the Search for the Secret,2008 Platform by Ignition Entertainment rank 15011
14741,15012,AirForce Delta Storm,2002 Shooter by Konami Digital Entertainment rank 15012
14742,15013,Serious Sam HD: Gold Edition,2011 Shooter by Mastertronic rank 15013
14743,15014,Peter Pan in Disney's Return to Never Land,2002 Platform by Sony Computer Entertainment rank 15014
14744,15015,Ferrari Challenge Trofeo Pirelli Deluxe,2009 Racing by System 3 Arcade Software rank 15015
14745,15016,Xenosaga I·II,2006 Role-Playing by Namco Bandai Games rank 15016
14746,15017,SimCity Societies,2007 Simulation by Electronic Arts rank 15017
14747,15018,Mesaze!! Tsuri Master: Sekai ni Challenge! Hen,2008 Sports by Hudson Soft rank 15018
14748,15019,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,2016 Misc by Namco Bandai Games rank 15019
14749,15020,Fishdom 2 Deluxe,2010 Puzzle by Rondomedia rank 15020
14750,15021,Kuusen II,2004 Simulation by Kadokawa Shoten rank 15021
14751,15022,Cross Channel: In Memory of All People,2011 Adventure by CyberFront rank 15022
14752,15023,Bomberman Story DS,2007 Role-Playing by Rising Star Games rank 15023
14753,15024,Penguins of Madagascar,2014 Action by Namco Bandai Games rank 15024
14754,15025,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,2010 Adventure by Prototype rank 15025
14755,15026,Brothers in Arms: Hell's Highway,2008 Shooter by Ubisoft rank 15026
14756,15027,Are You Alice?,2011 Adventure by Idea Factory rank 15027
14757,15028,Future Tactics: The Uprising,2004 Strategy by JoWood Productions rank 15028
14758,15029,Stronghold Crusader Extreme,2008 Strategy by Gamecock rank 15029
14759,15030,Kensei: Sacred Fist,1997 Fighting by Konami Digital Entertainment rank 15030
14760,15031,Backyard NFL Football,2007 Sports by Atari rank 15031
14761,15032,Okashi na Shima no Peter Pan: Sweet Never Land,2011 Adventure by Quinrose rank 15032
14762,15033,Urakata Hakuoki,2013 Adventure by Idea Factory rank 15033
14763,15034,Cities XL 2011,2010 Simulation by Focus Home Interactive rank 15034
14764,15035,Kung Fu Panda,2008 Action by Activision rank 15035
14765,15036,Gift: Prism,2006 Adventure by Sweets rank 15036
14766,15037,PDC World Championship Darts: Pro Tour,2010 Sports by O-Games rank 15037
14767,15038,Shanghai: True Valor,1998 Puzzle by Activision rank 15038
14768,15039,Tokyo Xanadu eX+,2016 Role-Playing by Nihon Falcom Corporation rank 15039
14769,15040,Major Dream: Major DS Dream Baseball,2008 Sports by Takara Tomy rank 15040
14770,15041,Steins;Gate: Senkei Kousoku no Phonogram,2013 Adventure by 5pb rank 15041
14771,15042,Thunderbirds,2004 Shooter by Vivendi Games rank 15042
14772,15043,Winning Post 8 2015,2015 Action by Tecmo Koei rank 15043
14773,15044,Vitamin Z Revolution,2010 Adventure by D3Publisher rank 15044
14774,15045,Aria: The Origination ~Aoi Wakusei no El Cielo~,2008 Adventure by Alchemist rank 15045
14775,15046,Inkheart,2009 Adventure by DreamCatcher Interactive rank 15046
14776,15047,Street Fighter X Tekken,2012 Fighting by Capcom rank 15047
14777,15048,Lunatic Dawn Tempest,2001 Role-Playing by ArtDink rank 15048
14778,15049,Ceville,2009 Action by Kalypso Media rank 15049
14779,15050,Strike Witches: Shirogane no Tsubasa,2012 Strategy by Kadokawa Shoten rank 15050
14780,15051,Total Immersion Racing,2002 Racing by Empire Interactive rank 15051
14781,15052,Totally Spies! 2: Undercover,2006 Action by Atari rank 15052
14782,15053,Luxor: The Wrath of Set,2006 Puzzle by Mumbo Jumbo rank 15053
14783,15054,Natalie Brooks: Mystery at Hillcrest High,2012 Action by Licensed 4U rank 15054
14784,15055,NASCAR Heat Evolution,2016 Racing by Dusenberry Martin Racing rank 15055
14785,15056,Board Game: Top Shop,1999 Misc by Success rank 15056
14786,15057,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,2007 Action by Konami Digital Entertainment rank 15057
14787,15058,Castlevania: Lords of Shadow - Reverie,2011 Action by Konami Digital Entertainment rank 15058
14788,15060,Cocoto Magic Circus,2008 Shooter by Neko Entertainment rank 15060
14789,15061,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,2007 Adventure by Marvelous Interactive rank 15061
14790,15062,Dunamis 15,2011 Adventure by 5pb rank 15062
14791,15063,DemiKids: Dark Version,2002 Role-Playing by Atlus rank 15063
14792,15064,Mage Knight: Destiny's Soldier,2006 Strategy by Namco Bandai Games rank 15064
14793,15065,GT Legends,2005 Racing by Atari rank 15065
14794,15066,Blender Bros.,2002 Platform by Unknown rank 15066
14795,15067,Suzumiya Haruhi no Heiretsu,2009 Adventure by Sega rank 15067
14796,15068,F1 Race Stars,2012 Racing by Codemasters rank 15068
14797,15069,DemiKids: Light Version,2002 Role-Playing by Atlus rank 15069
14798,15070,Nanatsuiro * Drops Pure!!,2007 Adventure by Media Works rank 15070
14799,15071,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,2010 Misc by D3Publisher rank 15071
14800,15072,Escape the Emerald Star,2011 Puzzle by PopCap Games rank 15072
14801,15073,La Corda d'Oro 4,2016 Action by Tecmo Koei rank 15073
14802,15074,Thomas and Friends: Steaming around Sodor,2015 Action by Avanquest Software rank 15074
14803,15075,Titanic Mystery,2010 Puzzle by O-Games rank 15075
14804,15076,Falcon 4.0: Allied Force,2005 Simulation by Graphsim Entertainment rank 15076
14805,15077,Bottom of the 9th '97,1997 Sports by Konami Digital Entertainment rank 15077
14806,15078,Shaman King: Chou Senjiryokketsu 3,2002 Role-Playing by King Records rank 15078
14807,15079,Ride,2015 Racing by Milestone S.r.l. rank 15079
14808,15080,Line Rider 2: Unbound,2008 Puzzle by Deep Silver rank 15080
14809,15081,HatsuKare * Renai Debut Sengen!,2013 Adventure by FuRyu rank 15081
14810,15082,Treasure Chase,2011 Puzzle by Storm City Games rank 15082
14811,15083,Unreal Anthology,2006 Shooter by Midway Games rank 15083
14812,15084,X3: Terran War Pack,2012 Misc by Deep Silver rank 15084
14813,15085,Prison Architect,2016 Action by Introversion Software rank 15085
14814,15086,G1 Jockey Wii,2007 Sports by Tecmo Koei rank 15086
14815,15087,Kingdom: Ikkitousen no Ken,2010 Action by Konami Digital Entertainment rank 15087
14816,15088,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,2007 Fighting by Yuke's rank 15088
14817,15089,Rugby League Live 3,2015 Action by Tru Blu Entertainment rank 15089
14818,15090,Tom Clancy's EndWar,2009 Strategy by Ubisoft rank 15090
14819,15091,RayCrisis: Series Termination,1999 Shooter by JVC rank 15091
14820,15092,Left 4 Dead,2008 Shooter by Electronic Arts rank 15092
14821,15093,Bejeweled 2 Deluxe,2006 Puzzle by Focus Home Interactive rank 15093
14822,15094,Ikki Tousen: Shining Dragon,2007 Role-Playing by Marvelous Interactive rank 15094
14823,15095,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,2008 Adventure by Minato Station rank 15095
14824,15096,Toxic Grind,2002 Sports by THQ rank 15096
14825,15097,DiRT,2007 Racing by Codemasters rank 15097
